Date,D0,D1,Value
2007-04,M0,HKD100,15.501695
2007-04,M0,KRW100,0.1301
2007-04,M0,MYR100,35.2432
2007-04,M0,NZD1,0.8899
2007-04,M0,SGD100,79.9447
2007-04,M0,THB100,3.533
2007-04,M0,XDR1,1.842462
2007-05,M0,EUR1,1.65
2007-05,M0,GBP1,2.4217
2007-05,M0,DKK100,22.141
2007-05,M0,NOK100,20.269
2007-05,M0,CZK100,5.84
2007-05,M0,HUF100,0.6637
2007-05,M0,PLN100,43.6515
2007-05,M0,RUB100,4.7275
2007-05,M0,SEK100,17.9245
2007-05,M0,TRY100,91.2555
2007-05,M0,USD1,1.221
2007-05,M0,CAD1,1.1141
2007-05,M0,ARS100,39.595
2007-05,M0,BRL100,61.405
2007-05,M0,MXN100,11.274
2007-05,M0,ZAR1,0.1737
2007-05,M0,JPY100,1.011165
2007-05,M0,AUD1,1.00725
2007-05,M0,CNY100,15.91434783
2007-05,M0,HKD100,15.615395
2007-05,M0,KRW100,0.1316
2007-05,M0,MYR100,35.877
2007-05,M0,NZD1,0.8943
2007-05,M0,SGD100,80.1485
2007-05,M0,THB100,3.5628
2007-05,M0,XDR1,1.853959
2007-06,M0,EUR1,1.6542
2007-06,M0,GBP1,2.4486
2007-06,M0,DKK100,22.2152
2007-06,M0,NOK100,20.5224
2007-06,M0,CZK100,5.7924
2007-06,M0,HUF100,0.6604
2007-06,M0,PLN100,43.4319
2007-06,M0,RUB100,4.7581
2007-06,M0,SEK100,17.7281
2007-06,M0,TRY100,93.206667
2007-06,M0,USD1,1.2332
2007-06,M0,CAD1,1.1573
2007-06,M0,ARS100,40.0181
2007-06,M0,BRL100,63.7048
2007-06,M0,MXN100,11.369
2007-06,M0,ZAR1,0.1718
2007-06,M0,JPY100,1.005395
2007-06,M0,AUD1,1.038557
2007-06,M0,CNY100,16.15366667
2007-06,M0,HKD100,15.782386
2007-06,M0,KRW100,0.1328
2007-06,M0,MYR100,35.7614
2007-06,M0,NZD1,0.9324
2007-06,M0,SGD100,80.2267
