P. Name,P. Mass Class,P. Habitable Class,P. Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. Esc Vel (EU),P. Teq Min (K),P. Teq Mean (K),P. Teq Max (K),P. Surf Press (EU),P. Period (days),P. Sem Major Axis (AU),P. Mean Distance (AU),S. Name,S. Constellation,S. Type,S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. Age (Gyrs),S. Distance (pc),S. No. Planets,S. No. Planets HZ,S. Hab Zone Min (AU),S. Hab Zone Max (AU),P. ESI,P. Habitable,P. Hab Moon
HD 114613 b,Jovian,non-habitable,152.61,8.75,0.23,1.99,4.18,144.2,160.6,186.2,34.8,3827,5.16,5,HD 114613,Centaurus,G3-4,1.36,2.11,5729,4.272489,,20.67,1,0,1.556,3.67,0.3,0,0
HD 114729 b,Jovian,non-habitable,267.07,9.94,0.27,2.7,5.18,182.1,207.8,253.6,72.6,1135,2.08,1.97,HD 114729,Centaurus,G3 V,0.93,1.46,5662,1.965509,4.58,35,1,1,1.059,2.504,0.43,0,0
HD 114762 b,Jovian,non-habitable,3490.98,11.52,2.28,26.31,17.41,424.4,486.8,601.5,7971.6,83.92,0.353,0.33,HD 114762,Coma Berenices,F9V,0.84,1.24,5934,1.710501,11.8,39.46,1,0,0.972,2.282,0.13,0,0
HD 114783 b,Jovian,non-habitable,2003.02,11.68,1.26,14.68,13.09,172.6,184.3,199.5,2517.1,493.7,1.16,1.15,HD 114783,Virgo,K0,0.92,0.78,5105,0.370734,3.7,20.4,1,0,0.474,1.142,0.28,0,0
HD 116029 b,Jovian,non-habitable,667.67,11.31,0.46,5.22,7.68,323.6,355,400.5,308.4,670.2,1.73,1.69,HD 116029,Coma Berenices,K1III,1.58,4.6,4951,11.407151,2.7,123.2,1,0,2.652,6.423,0.3,0,0
HD 117207 b,Jovian,non-habitable,654.96,11.29,0.46,5.14,7.62,119.4,128.4,140.3,298.3,2627.08,3.78,3.73,HD 117207,Centaurus,G8VI/V,1.07,1.09,5432,0.928073,6.68,33,1,0,0.738,1.756,0.16,0,0
HD 117618 b,Jovian,non-habitable,56.59,6.55,0.2,1.32,2.94,564,664.2,882.4,11.4,25.83,0.176,0.16,HD 117618,Centaurus,G2V,1.05,1.19,5861,1.499238,3.88,38,2,1,0.914,2.149,0.2,0,0
HD 117618 c,Jovian,non-habitable,63.59,6.8,0.2,1.38,3.06,292.3,292.3,292.3,12.9,318,0.93,0.93,HD 117618,Centaurus,G2V,1.05,1.19,5861,1.499238,3.88,38,2,1,0.914,2.149,0.54,0,0
HD 118203 b,Jovian,non-habitable,680.39,11.76,0.42,4.92,7.61,1245.4,1409,1686.6,284.6,6.13,0.07,0.07,HD 118203,Ursa Major,K0,1.23,2.31,5600,4.686703,4.6,88.6,1,0,1.642,3.888,0.08,0,0
HD 120084 b,Jovian,non-habitable,1430.73,11.68,0.9,10.5,11.07,243.8,304.5,538.7,1286.1,2082,4.3,3.23,HD 120084,Ursa Minor,G7 III,2.39,9.12,4892,42.739089,,97.7,1,0,5.146,12.497,0.31,0,0
HD 121504 b,Jovian,non-habitable,387.89,10.61,0.32,3.45,6.05,495.5,502.8,510.6,126,63.33,0.33,0.33,HD 121504,Centaurus,G2 V,1.18,1.17,6075,1.652642,1.62,44.37,1,0,0.948,2.216,0.18,0,0
HD 122430 b,Jovian,non-habitable,1179.56,11.64,0.75,8.7,10.07,693.2,868.8,1588.1,881.9,344.95,1.02,0.75,HD 122430,Hydra,K3III,1.39,22.9,4300,160.855015,3.11,135,1,0,10.208,25.46,0.09,0,0
HD 122562 b,Jovian,non-habitable,7630.56,10.68,6.27,66.95,26.74,116.1,146.2,281.8,47856.7,2777,4.1,2.89,HD 122562,Bootes,G5,1.13,1.98,4958,2.116238,,53.8,1,0,1.142,2.765,0.19,0,0
HD 125595 b,Neptunian,non-habitable,13.35,4.06,0.2,0.81,1.81,584.9,584.9,584.9,2.7,9.67,0.0809,0.08,HD 125595,Centaurus,K4V,0.76,0.59,4908,0.181761,3.53,27.4,1,0,0.335,0.814,0.28,0,0
HD 125612 b,Jovian,non-habitable,953.82,11.56,0.62,7.14,9.08,188.4,224.5,309.8,588.8,502,1.37,1.22,HD 125612,Virgo,G3V,1.1,1.05,5897,1.19617,2.1,52.82,3,1,0.815,1.914,0.41,0,0
HD 125612 c,Neptunian,non-habitable,18.44,4.53,0.2,0.9,2.02,1057.4,1186,1394.6,3.7,4.15,0.05,0.05,HD 125612,Virgo,G3V,1.1,1.05,5897,1.19617,2.1,52.82,3,1,0.815,1.914,0.23,0,0
HD 125612 d,Jovian,non-habitable,2289.17,11.67,1.44,16.81,14.01,114.9,129.4,153.2,3298.4,3008,4.2,4.03,HD 125612,Virgo,G3V,1.1,1.05,5897,1.19617,2.1,52.82,3,1,0.815,1.914,0.14,0,0
HD 126525 b,Jovian,non-habitable,71.22,7.04,0.2,1.44,3.18,174.3,185,198.6,14.5,948.12,1.8105,1.8,HD 126525,Lupus,G4V,0.88,0.91,5940,0.915904,,38.1,1,0,0.711,1.669,0.41,0,0
HD 126614 b,Jovian,non-habitable,120.82,8.22,0.22,1.79,3.83,141.3,165.9,218.3,26.3,1244,2.35,2.14,HD 126614,Virgo,K0,1.15,1.09,5585,1.037136,7.2,72.4,1,0,0.773,1.831,0.34,0,0
HD 128311 b,Jovian,non-habitable,693.11,11.34,0.48,5.39,7.82,159.6,177.7,206,329.4,448.6,1.099,1.06,HD 128311,Bootes,K0V,0.84,0.73,4965,0.290544,0.39,16.6,2,0,0.423,1.024,0.29,0,0
HD 128311 c,Jovian,non-habitable,1332.17,11.67,0.84,9.79,10.69,130.4,140.7,154.8,1117.6,919,1.76,1.73,HD 128311,Bootes,K0V,0.84,0.73,4965,0.290544,0.39,16.6,2,0,0.423,1.024,0.17,0,0
HD 128356 b,Jovian,non-habitable,282.97,10.05,0.28,2.8,5.31,169.6,207.8,324,78.8,298.2,0.87,0.71,HD 128356,Hydra,K3V,0.65,0.85,4875,0.366122,10,26.03,1,1,0.477,1.158,0.45,0,0
HD 129445 b,Jovian,non-habitable,508.7,11,0.38,4.2,6.8,120.2,151.1,286,194.3,1840,2.9,2.07,HD 129445,Circinus,G8V,0.99,1.04,5940,1.202325,,67.61,1,0,0.815,1.912,0.28,0,0
HD 130322 b,Jovian,non-habitable,333.84,10.36,0.3,3.11,5.68,706.4,721.7,738.2,100.3,10.72,0.088,0.09,HD 130322,Virgo,K0 V,0.79,0.83,5330,0.498833,0.35,30,1,0,0.544,1.299,0.13,0,0
HD 131496 b,Jovian,non-habitable,699.47,11.35,0.48,5.43,7.85,298.9,321.8,352.3,334.7,883,2.09,2.06,HD 131496,Bootes,K0,1.61,4.6,4927,11.187571,2.7,110,1,0,2.629,6.375,0.35,0,0
HD 132406 b,Jovian,non-habitable,1783.64,11.68,1.12,13.07,12.36,181.9,209,259.2,1994.5,974,1.98,1.86,HD 132406,Bootes,G0V,1.09,1.31,5885,1.830276,6.4,71,1,1,1.009,2.37,0.36,0,1
HD 132563 B b,Jovian,non-habitable,473.73,10.91,0.36,3.98,6.59,143.9,158.5,180,172.9,1544,2.62,2.56,HD 132563 B,Bootes,G,1.01,0.95,5985,1.040604,5,96,1,0,0.756,1.772,0.25,0,0
HD 134060 b,Neptunian,non-habitable,11.16,3.83,0.2,0.76,1.71,1141.1,1336,1743,2.2,3.27,0.0444,0.04,HD 134060,Circinus,G0V,1.09,1.18,5940,1.554643,,24.2,2,1,0.927,2.174,0.24,0,0
HD 134060 c,Neptunian,non-habitable,47.91,6.21,0.2,1.24,2.78,144.1,182.8,381.3,9.6,1160.9,2.2263,1.47,HD 134060,Circinus,G0V,1.09,1.18,5940,1.554643,,24.2,2,1,0.927,2.174,0.53,0,0
HD 134113 b,Jovian,non-habitable,14943.18,9.41,17.92,168.66,39.84,366.1,381.8,400.3,267760,201.68,0.638,0.64,HD 134113,Bootes,F9V,0.81,1.44,5782,2.058059,,71.9,1,0,1.076,2.536,0.19,0,0
HD 134606 b,Superterran,non-habitable,9.28,1.95,1.26,2.45,2.18,762.9,817,887.4,11.7,12.08,0.1023,0.1,HD 134606,Apus,G6IV,0.98,1,5940,1.112991,,26.5,3,1,0.784,1.84,0.26,0,0
HD 134606 c,Neptunian,non-habitable,12.15,3.94,0.2,0.78,1.76,423.4,478.2,570.6,2.4,59.52,0.2962,0.28,HD 134606,Apus,G6IV,0.98,1,5940,1.112991,,26.5,3,1,0.784,1.84,0.33,0,0
HD 134606 d,Neptunian,non-habitable,38.47,5.78,0.2,1.15,2.58,201.4,239.9,331.1,7.7,459.26,1.1567,1.03,HD 134606,Apus,G6IV,0.98,1,5940,1.112991,,26.5,3,1,0.784,1.84,0.62,0,0
HD 134987 b,Jovian,non-habitable,505.52,10.99,0.38,4.18,6.78,283.2,313.3,359,192.3,258.19,0.81,0.79,HD 134987,Libra,G5 V,1.07,1.25,5740,1.5218,9.7,22.2,2,0,0.928,2.188,0.38,0,0
HD 134987 c,Jovian,non-habitable,260.71,9.89,0.27,2.66,5.13,111,117.4,125.3,70.2,5000,5.8,5.76,HD 134987,Libra,G5 V,1.07,1.25,5740,1.5218,9.7,22.2,2,0,0.928,2.188,0.17,0,0
HD 136352 b,Superterran,non-habitable,5.28,1.68,1.11,1.87,1.77,777,842.3,932,5.9,11.58,0.0933,0.09,HD 136352,Lupus,G4V,0.81,0.97,5940,1.048391,,14.8,3,0,0.761,1.785,0.28,0,0
HD 136352 c,Neptunian,non-habitable,11.38,3.85,0.2,0.77,1.72,586.6,630.8,689.3,2.3,27.58,0.1665,0.16,HD 136352,Lupus,G4V,0.81,0.97,5940,1.048391,,14.8,3,0,0.761,1.785,0.28,0,0
HD 136352 d,Superterran,non-habitable,9.54,1.96,1.26,2.48,2.21,336.3,397.3,532.6,12.1,106.72,0.411,0.37,HD 136352,Lupus,G4V,0.81,0.97,5940,1.048391,,14.8,3,0,0.761,1.785,0.41,0,0
HD 136418 b,Jovian,non-habitable,635.88,11.26,0.45,5.02,7.52,320.3,357.4,415.8,283.3,464.3,1.32,1.28,HD 136418,Bootes,G5,1.33,3.4,5071,6.858389,4,98.2,1,0,2.044,4.929,0.3,0,0
HD 137388 b,Jovian,non-habitable,70.9,7.03,0.2,1.43,3.18,190.2,219.9,277.2,14.5,330,0.89,0.83,HD 137388,Apus,K0/K1V,0.86,0.82,5240,0.454823,6.45,38,1,1,0.522,1.25,0.54,0,0
HD 139357 b,Jovian,non-habitable,3103.09,11.58,2,23.14,16.37,435.6,456.6,481.6,6199.8,1125.7,2.36,2.35,HD 139357,Draco,K4III,1.35,11.47,4700,57.598094,3.07,121.4,1,0,6.024,14.748,0.15,0,0
HD 141399 b,Jovian,non-habitable,143.39,8.61,0.22,1.93,4.08,454.1,463.1,472.7,32.2,94.44,0.415,0.41,HD 141399,Bootes,K0V,1.07,1.46,5600,1.880822,,36.17,4,1,1.04,2.463,0.24,0,0
HD 141399 c,Jovian,non-habitable,422.86,10.74,0.34,3.66,6.27,351.1,359.4,368.4,144.2,201.99,0.689,0.69,HD 141399,Bootes,K0V,1.07,1.46,5600,1.880822,,36.17,4,1,1.04,2.463,0.31,0,0
HD 141399 d,Jovian,non-habitable,375.17,10.56,0.32,3.37,5.96,199.1,206.3,214.5,119.7,1069.8,2.09,2.08,HD 141399,Bootes,K0V,1.07,1.46,5600,1.880822,,36.17,4,1,1.04,2.463,0.4,0,0
HD 141399 e,Jovian,non-habitable,209.84,9.45,0.25,2.35,4.71,118.9,132.9,155.1,52.2,5000,5,4.83,HD 141399,Bootes,K0V,1.07,1.46,5600,1.880822,,36.17,4,1,1.04,2.463,0.21,0,0
HD 141937 b,Jovian,non-habitable,3084.02,11.58,1.98,22.98,16.32,183.7,215.8,284,6119.5,653.22,1.52,1.39,HD 141937,Libra,G2/G3 V,1.1,1.06,5925,1.242381,2.55,33.46,1,1,0.829,1.946,0.36,0,1
HD 142022 A b,Jovian,non-habitable,9220.26,10.36,8.29,85.89,29.83,92.6,112.3,167,76440.1,1928,3.03,2.57,HD 142022 A,Octans,K0 V,0.99,0.7,5382,0.374148,13.3,35.87,1,0,0.47,1.12,0.09,0,0
HD 142245 b,Jovian,non-habitable,604.09,11.21,0.43,4.81,7.34,256.5,292.8,357.4,259.4,1299,2.77,2.62,HD 142245,Serpens,K0,1.69,5.2,4878,13.736108,2.3,109.5,1,0,2.919,7.094,0.4,0,0
HD 142415 b,Jovian,non-habitable,515.06,11.02,0.38,4.24,6.84,208,250.5,360.3,198.3,386.3,1.05,0.91,HD 142415,Norma,G1 V,1.09,1.03,5834,1.102631,1.49,34.2,1,1,0.785,1.848,0.45,0,0
HD 143105 b,Jovian,non-habitable,384.71,10.6,0.32,3.43,6.03,1765.7,1825.8,1893.9,124.4,2.2,0.0379,0.04,HD 143105,Draco,F5,1.51,1.6,6380,3.793656,,48.7,1,0,1.409,3.278,0.11,0,0
HD 143361 b,Jovian,non-habitable,991.97,11.58,0.64,7.4,9.26,150.3,161,174.8,633.7,1057,2,1.98,HD 143361,Norma,G0V,0.95,0.76,5940,0.640976,,59.35,1,0,0.595,1.396,0.23,0,0
HD 145377 b,Jovian,non-habitable,1831.33,11.68,1.15,13.42,12.52,371.2,421.8,509.7,2102.7,103.95,0.45,0.43,HD 145377,Scorpio,G3V,1.12,1.14,6046,1.558017,1.3,57.7,1,0,0.922,2.157,0.18,0,0
HD 145457 b,Jovian,non-habitable,922.03,11.54,0.6,6.92,8.94,717.9,756.4,803.4,552.7,176.3,0.76,0.76,HD 145457,Corona Borealis,K0,1.9,9.9,4757,45.029051,,126,1,0,5.314,12.977,0.1,0,0
HD 145934 b,Jovian,non-habitable,724.9,11.38,0.49,5.6,7.98,202.3,207.6,213.4,356.6,2730,4.6,4.59,HD 145934,Hercules,K0,1.75,5.38,5150,9.336104,,,1,1,2.376,5.71,0.37,0,0
HD 147018 b,Jovian,non-habitable,674.03,11.32,0.47,5.26,7.72,402.9,481.2,669.8,313.6,44.24,0.2388,0.21,HD 147018,Triangulum Australe,G9V,0.93,0.99,5441,0.769358,6.36,42.96,2,0,0.671,1.597,0.16,0,0
HD 147018 c,Jovian,non-habitable,2085.69,11.68,1.31,15.29,13.36,161.7,171.9,184.8,2730.9,1008,1.922,1.9,HD 147018,Triangulum Australe,G9V,0.93,0.99,5441,0.769358,6.36,42.96,2,0,0.671,1.597,0.24,0,0
HD 147513 b,Jovian,non-habitable,384.71,10.6,0.32,3.43,6.03,194.9,217.9,254.3,124.4,528.4,1.32,1.27,HD 147513,Scorpio,G3/G5V,0.92,1,5701,0.947751,0.65,12.9,1,1,0.734,1.733,0.43,0,0
HD 147873 b,Jovian,non-habitable,1634.21,11.68,1.02,11.97,11.83,502,550,619.3,1674.6,116.6,0.522,0.51,HD 147873,Scorpio,G1V,1.38,2.29,5972,5.984668,4,104.93,2,0,1.814,4.254,0.12,0,0
HD 147873 c,Jovian,non-habitable,731.26,11.39,0.5,5.64,8.01,308.1,340.5,389.4,362.2,491.54,1.36,1.32,HD 147873,Scorpio,G1V,1.38,2.29,5972,5.984668,4,104.93,2,0,1.814,4.254,0.32,0,0
HD 148156 b,Jovian,non-habitable,270.25,9.96,0.27,2.72,5.21,158.6,191.9,282.1,73.9,1010,2.45,2.09,HD 148156,Norma,F8V,1.22,1.21,6308,2.079828,,53.05,1,1,1.048,2.44,0.4,0,0
HD 148427 b,Jovian,non-habitable,305.22,10.19,0.29,2.94,5.47,384.9,413.8,452.2,87.9,331.5,0.93,0.92,HD 148427,Ophiuchus,K0IV,1.45,3.22,5052,6.059753,2.5,59.3,1,0,1.923,4.641,0.25,0,0
HD 149026 b,Jovian,non-habitable,113.5,8.04,0.22,1.76,3.76,1601.5,1601.5,1601.5,24.8,2.88,0.0429,0.04,HD 149026,Hercules,G0 IV,1.3,1.5,6147,2.87069,2,78.9,1,0,1.243,2.904,0.1,0,0
HD 149143 b,Jovian,non-habitable,422.86,11.76,0.26,3.06,6,1380.9,1389.3,1398,109.9,4.07,0.052,0.05,HD 149143,Ophiuchus,G0 IV,1.1,1.58,5730,2.391559,7.6,63,1,0,1.164,2.746,0.08,0,0
HD 150433 b,Jovian,non-habitable,53.41,6.43,0.2,1.29,2.88,182.8,182.8,182.8,10.7,1096.2,1.9303,1.93,HD 150433,Ophiuchus,G0,0.8,0.94,5940,0.987605,,29.6,1,0,0.739,1.733,0.42,0,0
HD 150706 b,Jovian,non-habitable,861.62,11.5,0.57,6.51,8.65,77.7,90.4,115.8,487.6,5894,6.7,6.2,HD 150706,Ursa Minor,G0,0.94,0.87,5741,0.737698,1.17,27.2,1,0,0.646,1.523,0.11,0,0
HD 152079 b,Jovian,non-habitable,953.82,11.56,0.62,7.14,9.08,121.3,149.6,242.5,588.8,2097,3.2,2.56,HD 152079,Ara,G6V,1.02,1.1,5940,1.344539,,85.17,1,0,0.862,2.022,0.23,0,0
HD 152581 b,Jovian,non-habitable,476.91,10.92,0.37,4,6.61,370.6,408.1,463.5,174.8,689,1.48,1.44,HD 152581,Ophiuchus,K0,0.93,4.8,5155,14.597787,12,186,1,0,2.97,7.137,0.24,0,0
HD 153950 b,Jovian,non-habitable,867.98,11.51,0.57,6.55,8.68,236.8,272.1,337.4,494.2,499.4,1.28,1.2,HD 153950,Scorpio,F8V,1.12,1.34,6076,2.195688,4.3,49.6,1,1,1.092,2.555,0.41,0,0
HD 154088 b,Superterran,non-habitable,6.14,1.75,1.15,2,1.87,553.1,643.6,825.1,7,18.6,0.1316,0.12,HD 154088,Ophiuchus,K0IV,0.88,1.08,5150,0.732555,,17.8,1,0,0.665,1.6,0.29,0,0
HD 154345 b,Jovian,non-habitable,413.32,10.71,0.34,3.6,6.21,95.2,106.4,124.2,139.1,3538,4.3,4.15,HD 154345,Hercules,G8V,0.88,0.85,5468,0.572052,4.92,18.06,1,0,0.578,1.374,0.14,0,0
HD 154672 b,Jovian,non-habitable,1596.06,11.68,1,11.69,11.69,288.9,357.1,587,1597.6,163.91,0.6,0.48,HD 154672,Ara,G3IV,1.06,1.27,5714,1.542617,9.28,65.8,1,0,0.936,2.208,0.23,0,0
HD 154857 b,Jovian,non-habitable,712.19,11.36,0.49,5.51,7.92,232,276.4,381.5,345.6,408.6,1.291,1.15,HD 154857,Ara,G5V,1.72,1.76,5445,2.442906,5.6,64.2,2,1,1.196,2.846,0.41,0,0
HD 154857 c,Jovian,non-habitable,820.29,11.47,0.54,6.23,8.46,133.6,137.5,141.9,445.6,3452,5.36,5.35,HD 154857,Ara,G5V,1.72,1.76,5445,2.442906,5.6,64.2,2,1,1.196,2.846,0.17,0,0
HD 155233 b,Jovian,non-habitable,826.64,11.48,0.55,6.27,8.49,331.2,337.7,344.7,451.9,818.8,2,2,HD 155233,Ophiuchus,K1III,1.5,5,4845,12.359615,,75.1,1,0,2.773,6.748,0.32,0,0
HD 155358 b,Jovian,non-habitable,270.25,9.96,0.27,2.72,5.21,349.7,377.6,415.2,73.9,194.3,0.64,0.63,HD 155358,Hercules,G0,0.92,1.36,5900,1.990384,10.7,43,2,0,1.051,2.468,0.3,0,0
HD 155358 c,Jovian,non-habitable,260.71,9.89,0.27,2.66,5.13,278.2,299.1,326.9,70.2,391.9,1.02,1.01,HD 155358,Hercules,G0,0.92,1.36,5900,1.990384,10.7,43,2,0,1.051,2.468,0.44,0,0
HD 156279 b,Jovian,non-habitable,3087.2,11.58,1.99,23.01,16.33,260.2,327.8,629.3,6132.8,131.05,0.495,0.35,HD 156279,Draco,K0,0.93,0.99,5453,0.777969,4,36.6,1,0,0.675,1.605,0.24,0,0
HD 156411 b,Jovian,non-habitable,235.28,9.69,0.26,2.51,4.93,252.5,278,315.7,60.9,842.2,1.88,1.83,HD 156411,Ara,F8IV/V,1.25,2.16,5900,5.072306,,55.1,1,1,1.678,3.94,0.47,0,0
HD 156668 b,Terran,non-habitable,4.17,1.58,1.06,1.68,1.63,811.5,811.5,811.5,4.4,4.65,0.05,0.05,HD 156668,Hercules,K3V,0.77,0.72,4850,0.257349,8.6,24.5,1,0,0.4,0.973,0.29,0,0
HD 157172 b,Neptunian,non-habitable,38.15,5.77,0.2,1.15,2.57,292,347.9,480.1,7.6,104.84,0.416,0.37,HD 157172,Ophiuchus,G8.5V,0.87,0.76,5940,0.636182,,31.9,1,0,0.593,1.391,0.42,0,0
HD 158038 b,Jovian,non-habitable,572.29,11.15,0.41,4.61,7.17,337.7,381.6,455.7,236.5,521,1.52,1.45,HD 158038,Hercules,K2III,1.65,4.8,4897,11.887561,2.5,103.6,1,0,2.714,6.588,0.26,0,0
HD 159243 b,Jovian,non-habitable,359.27,10.48,0.31,3.27,5.85,834.1,842.3,850.9,112,12.62,0.11,0.11,HD 159243,Ophiuchus,G0V,1.12,1.07,6123,1.446146,1.25,69.2,2,0,0.884,2.065,0.12,0,0
HD 159243 c,Jovian,non-habitable,604.09,11.21,0.43,4.81,7.34,301.3,312.2,324.8,259.4,248.4,0.8,0.8,HD 159243,Ophiuchus,G0V,1.12,1.07,6123,1.446146,1.25,69.2,2,0,0.884,2.065,0.38,0,0
HD 159868 b,Jovian,non-habitable,667.67,11.31,0.46,5.22,7.68,223.8,224.9,226,308.4,1178.4,2.25,2.25,HD 159868,Scorpio,G5V,1.09,2.02,5395,3.073415,8.1,52.7,2,1,1.345,3.206,0.41,0,0
HD 159868 c,Jovian,non-habitable,232.1,9.66,0.26,2.49,4.9,314.6,336.8,365.9,59.8,352.3,1,0.99,HD 159868,Scorpio,G5V,1.09,2.02,5395,3.073415,8.1,52.7,2,1,1.345,3.206,0.37,0,0
HD 160508 b,Jovian,non-habitable,15261.12,9.37,18.56,173.91,40.36,343.5,423.4,683.4,283310.4,178.9,0.68,0.55,HD 160508,Hercules,F8V,1.25,1.71,6212,3.894067,,92.3,1,0,1.442,3.365,0.12,0,0
HD 162004 b,Jovian,non-habitable,486.45,10.94,0.37,4.06,6.67,125.2,146.6,191.3,180.5,3117,4.43,4.06,HD 162004,Draco,G0V,1.19,1.3,6212,2.244603,3.3,22.16,1,0,1.095,2.554,0.22,0,0
HD 162020 b,Jovian,non-habitable,4578.34,11.32,3.16,35.76,20.12,583.8,656.4,775.8,14469.1,8.43,0.074,0.07,HD 162020,Scorpio,K2 V,0.75,0.71,4830,0.246147,0.76,31.26,1,0,0.392,0.954,0.08,0,0
HD 163607 b,Jovian,non-habitable,244.81,9.77,0.26,2.57,5.01,395.4,499.8,1000.9,64.3,75.23,0.36,0.25,HD 163607,Draco,G5IV,1.09,1.63,5543,2.250321,8.6,69,2,1,1.142,2.708,0.17,0,0
HD 163607 c,Jovian,non-habitable,728.08,11.38,0.49,5.62,8,189.5,200.4,213.8,359.4,1314,2.42,2.4,HD 163607,Draco,G5IV,1.09,1.63,5543,2.250321,8.6,69,2,1,1.142,2.708,0.35,0,0
HD 164509 b,Jovian,non-habitable,152.61,8.75,0.23,1.99,4.18,256,286.2,334.1,34.8,282.4,0.875,0.84,HD 164509,Ophiuchus,G5V,1.13,1.06,5922,1.239867,1.1,52,1,1,0.828,1.945,0.48,0,0
HD 164595 b,Neptunian,non-habitable,16.41,4.35,0.2,0.87,1.94,516,538,563.6,3.3,40,0.23,0.23,HD 164595,Hercules,G2V,0.99,1.03,5790,1.053651,,28.93,1,0,0.77,1.813,0.29,0,0
HD 164604 b,Jovian,non-habitable,858.44,11.5,0.56,6.49,8.64,141.8,157.4,181.2,484.3,606.4,1.13,1.1,HD 164604,Sagittarius,K2V,0.8,0.55,5150,0.188611,,38,1,0,0.338,0.812,0.23,0,0
HD 164922 b,Jovian,non-habitable,114.46,8.1,0.22,1.74,3.76,151.3,155,159.1,24.6,1155,2.11,2.11,HD 164922,Hercules,K0V,0.94,0.9,5385,0.611108,13.4,21.93,1,0,0.6,1.431,0.29,0,0
HD 165155 b,Jovian,non-habitable,918.85,11.54,0.6,6.9,8.92,200.3,218.8,245.3,549.1,434.5,1.13,1.11,HD 165155,Sagittarius,G8V,1.02,0.95,5426,0.701869,11,64.98,1,1,0.642,1.528,0.39,0,0
HD 166724 b,Jovian,non-habitable,1122.33,11.63,0.71,8.3,9.82,63.2,80,161.4,801.4,8100,5.42,3.68,HD 166724,Corona Australis,K0IV,0.32,0.73,5150,0.334719,,42.3,1,0,0.45,1.081,0.1,0,0
HD 167042 b,Jovian,non-habitable,508.7,11,0.38,4.2,6.8,396.7,402.5,408.7,194.3,416.1,1.3,1.3,HD 167042,Draco,K1III,1.64,4.3,5020,10.535173,2.2,50,1,0,2.54,6.136,0.25,0,0
HD 168443 b,Jovian,non-habitable,2435.1,11.66,1.54,17.92,14.45,452.6,549,815.2,3742.6,58.11,0.2931,0.25,HD 168443,Serpens,G5,0.99,1.51,5591,1.998949,9.8,37.38,2,0,1.073,2.541,0.1,0,0
HD 168443 c,Jovian,non-habitable,9367.47,10.33,8.49,87.74,30.11,163.4,179.3,202.5,79544.1,1749.83,2.8373,2.77,HD 168443,Serpens,G5,0.99,1.51,5591,1.998949,9.8,37.38,2,0,1.073,2.541,0.23,0,0
HD 168746 b,Jovian,non-habitable,73.13,7.1,0.2,1.45,3.21,987.6,1026.4,1071.1,14.9,6.4,0.065,0.06,HD 168746,Serpens,G5,0.88,1.12,5610,1.11475,3.75,43.12,1,0,0.8,1.894,0.17,0,0
HD169142 b,Jovian,non-habitable,9538.2,10.3,8.73,89.9,30.43,89.6,89.6,89.6,83247.3,,22.7,22.7,HD169142,Sagittarius,A7V,1.65,1.6,7650,7.86639,12,145,1,0,1.945,4.482,0.06,0,0
HD 169830 b,Jovian,non-habitable,915.67,11.54,0.6,6.88,8.91,363.8,413.9,501.3,545.6,225.62,0.81,0.77,HD 169830,Sagittarius,F8 V,1.4,1.84,6266,4.682599,4.95,36.32,2,1,1.576,3.674,0.21,0,0
HD 169830 c,Jovian,non-habitable,1284.48,11.66,0.81,9.45,10.5,171.3,196.1,241.3,1040.6,2102,3.6,3.4,HD 169830,Sagittarius,F8 V,1.4,1.84,6266,4.682599,4.95,36.32,2,1,1.576,3.674,0.33,0,1
HD 170469 b,Jovian,non-habitable,213.02,9.48,0.25,2.37,4.74,179.5,188.9,200.4,53.3,1145,2.24,2.23,HD 170469,Ophiuchus,G5IV,1.14,1.22,5810,1.521647,6.7,64.97,1,0,0.924,2.175,0.37,0,0
HD 171028 b,Jovian,non-habitable,629.52,11.25,0.44,4.98,7.48,240.7,296.2,474,278.4,550,1.32,1.07,HD 171028,Ophiuchus,G0,0.99,1.95,5663,3.508693,8,90,1,0,1.415,3.345,0.36,0,0
HD 171238 b,Jovian,non-habitable,826.64,11.48,0.55,6.27,8.49,130.1,152.4,198.8,451.9,1523,2.54,2.33,HD 171238,Sagittarius,KOV,0.94,1.04,5467,0.860579,4.92,50.28,1,0,0.709,1.686,0.22,0,0
HD 173416 b,Jovian,non-habitable,858.44,11.5,0.56,6.49,8.64,640.4,702.5,792.5,484.3,323.6,1.16,1.13,HD 173416,Lyra,G8,2,13.5,4683,78.641899,,135,1,0,7.043,17.258,0.11,0,0
HD 175167 b,Jovian,non-habitable,2479.93,11.65,1.57,18.26,14.59,126.6,154,231.6,3885.4,1290,2.4,2.02,HD 175167,Pavo,G5 IV/V,1.1,0.87,5940,0.832547,,67.02,1,0,0.678,1.591,0.21,0,0
HD 175541 b,Jovian,non-habitable,193.94,9.28,0.24,2.25,4.57,374.1,428.3,527,47.1,297.3,1.03,0.97,HD 175541,Serpens,G8IV,1.65,3.85,5060,8.717929,1.9,128,1,0,2.306,5.562,0.25,0,0
HD 175607 b,Superterran,non-habitable,9,1.93,1.25,2.41,2.16,468.4,493.1,523.1,11.2,29.01,0.1648,0.16,HD 175607,Pavo,G6V,0.71,0.71,5392,0.382302,10.32,45.27,1,0,0.475,1.131,0.34,0,0
