PLZ,Gemeinde,Land,SCB
4500,Solothurn,CH,27
4502,Solothurn,CH,1
4512,Bellach,CH,18
4513,Langendorf,CH,3
4514,Lommiswil,CH,9
4522,Rüttenen,CH,2
4524,Günsberg,CH,3
4528,Zuchwil,CH,18
4532,Feldbrunnen,CH,2
4533,Riedholz,CH,10
4534,Flumenthal,CH,4
4535,Hubersdorf,CH,2
4536,Attiswil,CH,9
4537,Wiedlisbach,CH,14
4538,Oberbipp,CH,13
4539,Farnern,CH,1
4542,Luterbach,CH,10
4543,Deitingen,CH,9
4552,Derendingen,CH,11
4553,Subingen,CH,9
4554,Etziken,CH,13
4554,Hüniken,CH,3
4556,Bolken,CH,5
4556,Aeschi ,CH,4
4556,Aeschi,CH,5
4557,Horriwil,CH,5
4562,Biberist,CH,27
4563,Obergerlafingen,CH,8
4564,Obergerlafingen,CH,11
4564,Zielebach,CH,4
4565,Recherswil,CH,5
4566,Kriegstetten,CH,2
4566,Oekingen,CH,2
4566,Halten,CH,1
4571,Biezwil,CH,1
4571,Lüterkofen,CH,1
4573,Lohn-Ammannsegg,CH,11
4576,Tscheppach,CH,2
4578,Bibern ,CH,1
4579,Gossliwil,CH,1
4582,Brügglen,CH,2
4583,Mühledorf ,CH,1
4583,Aetigkofen,CH,1
4584,Gächliwil,CH,2
4584,Lüterswil,CH,4
4585,Biezwil,CH,5
4586,Kyburg-Buchegg,CH,1
4587,Aetingen,CH,3
4588,Oberramsern,CH,4
4588,Unterramsern,CH,2
4600,Olten,CH,12
4603,Olten,CH,1
4612,Wangen,CH,6
4613,Rickenbach ,CH,1
4614,Hägendorf,CH,6
4616,Kappel,CH,1
4617,Gunzgen,CH,1
4618,Boningen,CH,2
4622,Egerkingen,CH,1
4623,Neuendorf,CH,7
4624,Härkingen,CH,6
4625,Oberbuchsiten,CH,1
4626,Niederbuchsiten,CH,2
4628,Wolfwil,CH,4
4632,Trimbach,CH,4
4652,Winznau,CH,5
4655,Rohr,CH,1
4656,Starrkirch-Wil,CH,2
4657,Dulliken,CH,1
4658,Däniken,CH,4
4663,Aarburg,CH,5
4665,Oftringen,CH,6
4702,Oensingen,CH,12
4703,Kestenholz ,CH,1
4703,Kestenholz,CH,6
4704,Niederbipp,CH,24
4710,Balsthal,CH,4
4712,Laupersdorf,CH,4
4713,Matzendorf,CH,5
4716,Welschenrohr,CH,3
4717,Mümliswil,CH,1
4718,Holderbank,CH,1
4719,Ramiswil,CH,2
4800,Zofingen,CH,12
4802,Strengelbach,CH,1
4803,Vordemwald,CH,6
4805,Brittnau,CH,7
4806,Wikon,CH,1
4814,Bottenwil,CH,1
4852,Rohtrist,CH,1
4852,Rothrist,CH,5
4853,Murgenthal,CH,1
4853,Riken ,CH,1
4856,Glashütten,CH,1
4856,Balzenwil,CH,1
4900,Langenthal,CH,36
4911,Schwarzhäusern,CH,4
4912,Aarwangen,CH,6
4913,Bannwil,CH,5
4914,Roggwil ,CH,8
4914,Roggwil,CH,2
4916,Untersteckholz,CH,1
4917,Melchnau,CH,2
4922,Bützberg,CH,12
4923,Wynau,CH,3
4923,Wynau ,CH,2
4932,Lotzwil,CH,9
4933,Rütschelen,CH,2
4934,Madiswil,CH,3
4935,Leimiswil,CH,1
4936,Kleindietwil,CH,2
4937,Ursenbach,CH,2
4938,Rohrbach,CH,10
4942,Walterswil ,CH,3
4942,Walterswil,CH,3
4943,Oeschenbach,CH,2
4943,Madiswil,CH,1
4944,Auswil,CH,4
4950,Huttwil,CH,17
4952,Eriswil,CH,4
4954,Wyssachen,CH,3
4955,Gondiswil,CH,1
5000,Aarau,CH,3
5004,Aarau,CH,2
5012,Schönenwerd,CH,2
5013,Niedergösgen,CH,6
5014,Gretzenbach,CH,1
5015,Erlinsbach,CH,5
5015,Erlinsbach ,CH,2
5018,Erlinsbach,CH,5
5022,Rombach,CH,2
5023,Biberstein,CH,1
5027,Herznach,CH,1
5032,Aarau-Rohr,CH,2
5032,Aarau Rohr,CH,1
5033,Buchs,CH,3
5034,Suhr,CH,5
5035,Unterentfelden ,CH,1
5036,Oberentfelden,CH,2
5037,Muhen,CH,4
5040,Schöftland,CH,6
5042,Hirschthal,CH,2
5043,Holziken,CH,3
5046,Schmiedrued,CH,1
5054,Kirchleerau,CH,2
5054,Moosleerau,CH,1
5056,Attelwil,CH,1
5062,Oberhof,CH,1
5063,Wölflinswil,CH,1
5070,Frick,CH,7
5074,Eiken,CH,3
5079,Zeihen,CH,1
5082,Kaisten,CH,1
5102,Rupperswil,CH,2
5105,Auenstein,CH,2
5107,Schinznach Dorf,CH,1
5108,Oberflachs,CH,1
5112,Thalheim ,CH,1
5112,Thalheim,CH,3
5116,Schinznach-Bad,CH,1
5200,Brugg,CH,5
5200,Brugg ,CH,3
5210,Windisch,CH,4
5212,Hausen,CH,2
5223,Riniken,CH,1
5235,Rüfenach,CH,2
5242,Birr,CH,3
5243,Mülligen,CH,3
5244,Birrhard,CH,1
5313,Klingnau,CH,1
5314,Kleindöttingen,CH,2
5322,Koblenz,CH,1
5333,Baldingen,CH,1
5400,Baden,CH,3
5405,Dättwil,CH,1
5408,Ennetbaden,CH,1
5412,Gebenstorf,CH,1
5413,Birmenstorf,CH,1
5415,Nussbaumen,CH,1
5417,Untersiggenthal,CH,1
5420,Ehrendingen,CH,3
5422,Oberehrendingen,CH,1
5426,Lengnau ,CH,1
5430,Wettingen,CH,6
5432,Neuenhof,CH,1
5436,Würenlos,CH,2
5443,Niederrohrdorf,CH,2
5454,Bellikon,CH,3
5502,Hunzenschwil,CH,3
5503,Schafisheim,CH,1
5504,Othmarsingen,CH,7
5506,Mägenwil,CH,4
5600,Lenzburg,CH,9
5600,Ammerswil ,CH,1
5603,Staufen,CH,4
5607,Hägglingen,CH,1
5610,Wohlen ,CH,3
5612,Villmergen,CH,2
5615,Fahrwangen,CH,4
5617,Tennwil,CH,1
5619,Büttikon ,CH,2
5620,Bremgarten ,CH,2
5620,Bremgarten,CH,1
5623,Boswil,CH,5
5624,Bünzen,CH,2
5628,Birri,CH,1
5630,Muri,CH,3
5630,Muri ,CH,2
5634,Merenschwand,CH,2
5702,Niederlenz,CH,3
5703,Seon,CH,6
5705,Hallwil,CH,1
5706,Boniswil,CH,2
5707,Seengen,CH,3
5708,Birrwil,CH,1
5722,Gränichen,CH,3
5724,Dürrenäsch,CH,1
5725,Leutwil,CH,2
5727,Oberkulm,CH,1
5737,Menziken,CH,1
5742,Kölliken,CH,2
5745,Safenwil,CH,5
5746,Walterswil ,CH,1
6002,Luzern,CH,1
6003,Luzern,CH,1
6004,Luzern,CH,3
6005,Luzern,CH,1
